C5,854495,
C6,36610,
C9,,928
C14,23930,
C15,92,
C18,36300,
C24,41430,875
C29,294,
C32,32610,
C33,41800,
C35,,1060
C36,39180,1052
C37,21770,1051
C46,20810,
C49,,1059
C53,42980,
C54,39740,1045
C61,,1057
C64,39180,1052
C74,39210,-1427
C78,39610,1142
C79,39610,1142
C80,35700,
C82,35400,854
C86,164780,
C89,69630,2424
C100,26060,505
C101,,107
C102,26180,-127
C103,,970
C106,72800,2552
C108,74240,
C109,,2665
C110,,111
C120,26700,529
C121,34760,
C125,34730,799
C126,38070,
C127,600622,-7797
C133,107380,-1410
C135,27940,590
C137,27660,-3080
C138,27420,124
C142,27490,582
C145,27360,579
C154,38560,996
C158,38590,998
C159,,133
C161,27730,-43
C163,26850,566
C165,170920,930
C11276,170920,930
C174,24250,
C179,,473
C182,28730,-38
C183,28730,-38
C188,,174
C197,,1033
C200,,650
C202,39590,-7537
C204,184990,
C207,31040,692
C213,31330,703
C216,31240,-650
C225,,220
C226,49600,-8037
C227,27860,218
C233,22030,432
C235,21190,259
C237,33040,735
C241,22570,404
C245,27090,403
C247,23240,
C249,35360,-759
C250,30740,673
C251,30740,673
C252,40500,1083
C255,41010,1112
C256,41010,1112
C257,41020,-6425
C261,41050,1113
C262,41040,
C266,22520,400
C270,37370,941
C271,37370,941
C275,119,99
C284,40480,1073
C291,40280,
C295,850149,189
C296,858543,1095
C297,98590,3378
C298,,204
C299,,-400
C301,43760,1227
C303,314,
C304,,1143
C305,863009,1166
C306,863009,1166
C312,41730,1137
C318,54870,1677
C319,54870,1677
C322,53190,1678
C323,52960,1619
C324,36660,
C329,54900,
C333,53420,
C336,36670,1700
C338,,1648
C341,54650,1660
C350,53820,1809
C361,53840,-236
C363,57820,-6256
C391,53830,1810
C397,53870,1818
C400,56270,1756
C404,55510,1759
C415,55920,1735
C417,91970,3369
C420,,2919
C421,79140,-1389
C435,,-75
C439,,1767
C442,55890,1765
C449,,1757
C454,56240,
C455,69800,2440
C456,,1768
C457,58570,-3682
C458,58570,-3682
C461,53060,1653
C462,53060,1653
C466,69780,1723
C467,69780,1723
C469,69820,
C470,54605,1646
C471,54605,1646
C472,54640,-287
C484,55930,1708
C490,,-4522
C491,54450,1731
C492,850454,-805
C496,,1946
C499,,1662
C500,,1662
C501,56310,1665
C502,56320,
C503,55820,
C512,55720,1729
C516,,1743
C534,,1749
C537,73010,
C538,53600,1787
C540,57210,1786
C542,,1795
C553,54070,
C555,58130,1834
C556,58130,1836
C562,58140,1833
C563,58430,1831
C564,450143,1828
C567,58060,1828
C572,58060,1828
C575,55150,1691
C576,850444,1687
C579,,1797
C593,,1800
C594,53510,
C596,,1781
C597,56690,
C599,48980,-2140
C600,54960,1683
C602,859161,
C603,859161,
C604,56910,1775
C605,,1773
C607,850481,1821
C610,54680,1807
C615,91900,3338
C616,21881,-15
C617,20030,297
C618,21881,305
C619,,-16
C620,54480,67
C624,54210,441
C627,54230,443
C628,54610,73
C629,54610,73
C630,54605,1646
C633,60310,1989
C636,56530,
C639,93,446
C640,,-5446
C641,159290,
C648,600270,2509
C649,89040,181
C651,20830,179
C662,38400,
C663,90030,
C667,854443,2326
C668,37830,969
C669,26151,520
C670,26150,520
C671,72230,2510
C672,71840,2273
C673,26440,105
C676,26450,112
C677,550032,527
C678,97660,3721
C680,27520,128
C681,89850,3301
C682,27700,585
C684,86570,3237
C685,86580,3237
C686,86580,3237
C691,24310,
C692,60330,
C697,37210,
C699,28610,
C708,854491,-2378
C709,854491,-2378
C714,28510,632
C715,28510,632
C716,142460,630
C718,,619
C725,127650,228
C734,138880,700
C735,138900,700
C737,89850,3301
C738,41960,1147
C739,851527,3401
C747,180680,
C749,20360,45
C755,22230,392
C762,55650,
C763,550400,-3178
C764,550400,-3178
C765,142820,
C766,142820,
C767,151410,708
C768,151350,5806
C771,30410,666
C772,30410,666
C775,39890,-6306
C777,,724
C778,,725
C783,,806
C789,34360,802
C790,21250,297
C792,850186,886
C793,28510,632
C794,29740,640
C795,29740,640
C799,271,209
C800,854495,796
C801,20990,
C814,,7366
C815,180740,
C820,171780,7263
C11278,10030,300
C825,21930,338
C826,21930,338
C827,21930,338
C854,21550,749
C855,28250,624
C866,20060,
C867,20060,
C868,20060,
C869,20060,
C870,20060,
C871,21550,749
C876,34840,826
C877,34840,826
C882,10270,765
C883,23640,72
C884,23640,16
C886,20520,755
C887,20570,335
C888,20570,335
C889,,777
C890,21420,15
C891,21420,15
C893,,759
C894,,759
C895,24730,771
C896,,772
C897,37500,962
C898,,-7923
C905,26870,-21
C928,,773
C931,26890,
C932,38130,983
C933,38120,
C934,45750,1323
C942,24120,465
C943,24430,470
C944,33370,774
C946,,7573
C950,33400,-5022
C951,851809,592
C978,31130,1096
C979,31130,1096
C988,266,782
C992,32820,727
C993,32820,727
C998,32830,728
C999,21180,762
C1001,33120,739
C1005,34920,851
C1006,22270,776
C1009,49970,-7500
C1010,40570,1084
C1016,40570,1084
C1028,203,676
C1029,191,191
C1032,148880,
C1035,10110,6496
C1037,163760,6525
C1038,163760,6525
C1039,163760,6525
C1042,,2933
C1046,163760,6525
C1047,162930,6508
C1050,159160,6259
C1054,166210,6747
C1058,113560,4386
C1059,113560,4386
C1092,163620,6514
C1094,854562,6287
C1095,159260,
C1102,160130,6294
C1104,164220,6297
C1105,,6291
C1107,,6291
C1112,160170,-5933
C1113,160180,6299
C1116,160190,6301
C1117,160230,6309
C1119,,6284
C1121,162280,6546
C1122,,6471
C1129,165680,6664
C1131,159210,
C1137,,6474
C1138,,6474
C1142,,6417
C1143,,6417
C1144,,6604
C1154,,6431
C1156,159380,6418
C1157,159380,6613
C1158,159380,6418
C1162,165080,6615
C1165,161770,6421
C1173,,6427
C1179,,6428
C1189,,6425
C1195,161730,
C1196,161710,6396
C1197,,6435
C1204,,-779
C1205,,-779
C1207,,6642
C1213,160630,6331
C1215,854564,6327
C1223,160850,6343
C1225,164310,-1514
C1227,401218,6579
C1228,164560,
C1229,164560,
C1232,164430,6581
C1236,,6583
C1237,160800,6338
C1243,160990,6346
C1246,161180,6353
C1248,160890,
C1253,,6372
C1258,,6379
C1261,161300,
C1265,160510,
C1266,156140,4526
C1268,,6371
C1270,,6383
C1276,854567,6316
C1282,163420,6318
C1283,,6275
C1291,,-1413
C1293,,6384
C1302,,6397
C1308,,6397
C1309,,6399
C1315,,6400
C1317,,6397
C1318,,6397
C1319,,6397
C1323,,6402
C1327,,6407
C1330,,6408
C1331,,-7953
C1336,165060,-7578
C1340,161690,6395
C1358,162200,6458
C1363,162200,6458
C1364,162200,6458
C1365,,6710
C1366,161940,6451
C1367,161950,-4718
C1368,161950,-4718
C1373,161960,6459
C1376,,6465
C1379,165520,6939
C1380,,6651
C1383,162420,6475
C1384,162420,6475
C1391,162500,6477
C1411,162490,6478
C1413,162470,6483
C1416,162530,6485
C1431,162440,-873
C1437,162440,-873
C1442,162440,-873
C1451,162530,6485
C1467,162580,6491
C1473,159010,-7839
C1478,166570,6466
C1479,166570,6466
C1484,159900,
C1485,,4576
C1487,,6469
C1490,,6281
C1492,164120,
C1494,159410,6439
C1495,159920,6445
C1501,159830,
